"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"登录失败场景","545","登录失败场景","cases","2026-08-08","passed","2026-08-08","TestLogin","test_login","",""
"登录失败场景","301","登录失败场景","cases","2026-08-08","passed","2026-08-08","TestLogin","test_login","",""
"添加模块-模块名称不能为空","174","添加模块-模块名称不能为空","cases","2026-08-08","passed","2026-08-08","TestAddModule","test_add_module","",""
"提交成功，判断新项目名称在列表","1310","提交成功，判断新项目名称在列表","cases","2026-08-08","passed","2026-08-08","TestAddProject","test_add_project","",""
"项目列表页搜索功能， 模拟搜索一个结果","198","项目列表页搜索功能， 模拟搜索一个结果","cases","2026-08-08","passed","2026-08-08","TestProjectList","test_project_list","",""
"","196","test_search_project_ajax[chromium]","cases","2026-08-08","passed","2026-08-08","TestProjectList","test_project_list","",""
"已有账号？点这登录","227","已有账号？点这登录","cases","2026-08-08","passed","2026-08-08","TestRegister","test_register","",""
"用户名大于30字符","107","用户名大于30字符","cases","2026-08-08","passed","2026-08-08","TestRegister","test_register","",""
"项目名称重复，弹出模态框","596","项目名称重复，弹出模态框","cases","2026-08-08","passed","2026-08-08","TestAddProject","test_add_project","",""
"登录页点击注册链接，跳转到注册页","275","登录页点击注册链接，跳转到注册页","cases","2026-08-08","passed","2026-08-08","TestLogin","test_login","",""
"测试注册正常流程，已被注册过的账号","497","测试注册正常流程，已被注册过的账号","cases","2026-08-08","passed","2026-08-08","TestRegister","test_register","",""
"密码框6-16位","55","密码框6-16位","cases","2026-08-08","passed","2026-08-08","TestRegister","test_register","",""
"登录正常流程， 获取异步ajax 响应","26618","登录正常流程， 获取异步ajax 响应","cases","2026-08-08","passed","2026-08-08","TestLogin","test_login","",""
"表格行内删除 {""message"": ""无权限操作，请联系管理员""}","4992","表格行内删除 {""message"": ""无权限操作，请联系管理员""}","cases","2026-08-08","passed","2026-08-08","TestProjectList","test_project_list","",""
"密码框不能为空","153","密码框不能为空","cases","2026-08-08","passed","2026-08-08","TestRegister","test_register","",""
"
测试流程：
step--A账号登录，创建项目xxx
step--B账号登录，删除项目xxx
:return:
","21034","
测试流程：
step--A账号登录，创建项目xxx
step--B账号登录，删除项目xxx
:return:
","cases.more_accounts","2026-08-08","passed","2026-08-08","TestMoreAccounts","test_x","",""
"新增环境：环境地址不能为空","620","新增环境：环境地址不能为空","cases","2026-08-08","passed","2026-08-08","TestEnvList","test_env_list","",""
"密码框不能有特殊字符","91","密码框不能有特殊字符","cases","2026-08-08","passed","2026-08-08","TestRegister","test_register","",""
"新增环境：环境地址必须以http:或 https:开头","1058","新增环境：环境地址必须以http:或 https:开头","cases","2026-08-08","passed","2026-08-08","TestEnvList","test_env_list","",""
"列表页新增项目成功，模态框关闭","893","列表页新增项目成功，模态框关闭","cases","2026-08-08","passed","2026-08-08","TestProjectList","test_project_list","",""
"新增项目：模态框取消按钮","835","新增项目：模态框取消按钮","cases","2026-08-08","passed","2026-08-08","TestProjectList","test_project_list","",""
